"date","statename","statepostal","fips","m50","m50_index"
2020-03-08,"Kentucky","KY",21,6.603,76
2020-03-08,"Louisiana","LA",22,7.342,77
2020-03-08,"Massachusetts","MA",25,3.893,64
2020-03-08,"Maryland","MD",24,4.552,57
2020-03-08,"Maine","ME",23,4.165,58
2020-03-08,"Michigan","MI",26,4.822,60
2020-03-08,"Minnesota","MN",27,4.278,57
2020-03-08,"Missouri","MO",29,6.658,71
2020-03-08,"Mississippi","MS",28,9.186,81
2020-03-08,"Montana","MT",30,2.431,58
2020-03-08,"North Carolina","NC",37,7.033,72
2020-03-08,"North Dakota","ND",38,2.684,62
2020-03-08,"Nebraska","NE",31,4.696,70
2020-03-08,"New Hampshire","NH",33,5.609,63
2020-03-08,"New Jersey","NJ",34,4.242,59
2020-03-08,"New Mexico","NM",35,3.518,59
2020-03-08,"Nevada","NV",32,4.953,70
2020-03-08,"New York","NY",36,2.541,49
2020-03-08,"Ohio","OH",39,5.291,66
2020-03-08,"Oklahoma","OK",40,6.575,68
2020-03-08,"Oregon","OR",41,3.005,58
2020-03-08,"Pennsylvania","PA",42,4.114,65
2020-03-08,"Rhode Island","RI",44,3.88,63
2020-03-08,"South Carolina","SC",45,7.388,77
2020-03-08,"South Dakota","SD",46,3.777,74
2020-03-08,"Tennessee","TN",47,8.184,79
2020-03-08,"Texas","TX",48,6.61,72
2020-03-08,"Utah","UT",49,2.415,34
2020-03-08,"Virginia","VA",51,5.242,65
2020-03-08,"Vermont","VT",50,5.129,86
2020-03-08,"Washington","WA",53,2.908,47
2020-03-08,"Wisconsin","WI",55,4.162,62
2020-03-08,"West Virginia","WV",54,5.606,72
2020-03-08,"Wyoming","WY",56,2.696,67
2020-03-09,"Alaska","AK",2,3.002,74
2020-03-09,"Alabama","AL",1,10.901,103
2020-03-09,"Arkansas","AR",5,8.582,89
2020-03-09,"Arizona","AZ",4,7.477,95
2020-03-09,"California","CA",6,6.339,92
2020-03-09,"Colorado","CO",8,6.771,96
2020-03-09,"Connecticut","CT",9,6.607,98
2020-03-09,"Washington, D.C.","DC",11,3.377,92
2020-03-09,"Delaware","DE",10,7.845,94
2020-03-09,"Florida","FL",12,7.855,96
2020-03-09,"Georgia","GA",13,9.91,101
2020-03-09,"Hawaii","HI",15,6.745,99
2020-03-09,"Iowa","IA",19,6.292,90
2020-03-09,"Idaho","ID",16,5.331,97
2020-03-09,"Illinois","IL",17,6.599,90
2020-03-09,"Indiana","IN",18,7.625,91
2020-03-09,"Kansas","KS",20,6.736,91
2020-03-09,"Kentucky","KY",21,8.289,96
2020-03-09,"Louisiana","LA",22,9.045,96
2020-03-09,"Massachusetts","MA",25,5.818,96
2020-03-09,"Maryland","MD",24,7.555,95
2020-03-09,"Maine","ME",23,6.62,92
2020-03-09,"Michigan","MI",26,7.54,94
2020-03-09,"Minnesota","MN",27,6.984,94
2020-03-09,"Missouri","MO",29,8.398,89
2020-03-09,"Mississippi","MS",28,11.485,102
2020-03-09,"Montana","MT",30,3.973,95
2020-03-09,"North Carolina","NC",37,9.618,98
2020-03-09,"North Dakota","ND",38,4.117,96
2020-03-09,"Nebraska","NE",31,5.904,88
2020-03-09,"New Hampshire","NH",33,8.583,97
2020-03-09,"New Jersey","NJ",34,6.718,93
2020-03-09,"New Mexico","NM",35,5.98,100
2020-03-09,"Nevada","NV",32,6.747,95
2020-03-09,"New York","NY",36,4.905,94
2020-03-09,"Ohio","OH",39,7.606,95
2020-03-09,"Oklahoma","OK",40,8.934,93
2020-03-09,"Oregon","OR",41,4.938,95
2020-03-09,"Pennsylvania","PA",42,6.2,98
2020-03-09,"Rhode Island","RI",44,5.864,96
2020-03-09,"South Carolina","SC",45,9.698,101
2020-03-09,"South Dakota","SD",46,5.056,99
2020-03-09,"Tennessee","TN",47,10.077,98
2020-03-09,"Texas","TX",48,8.791,96
2020-03-09,"Utah","UT",49,6.736,95
2020-03-09,"Virginia","VA",51,7.834,97
2020-03-09,"Vermont","VT",50,6.18,104
2020-03-09,"Washington","WA",53,5.286,85
2020-03-09,"Wisconsin","WI",55,6.03,90
2020-03-09,"West Virginia","WV",54,7.578,98
2020-03-09,"Wyoming","WY",56,4.09,101
2020-03-10,"Alaska","AK",2,3.524,88
2020-03-10,"Alabama","AL",1,10.892,103
2020-03-10,"Arkansas","AR",5,9.527,99
2020-03-10,"Arizona","AZ",4,7.438,95
2020-03-10,"California","CA",6,6.522,95
2020-03-10,"Colorado","CO",8,6.95,98
2020-03-10,"Connecticut","CT",9,6.638,98
2020-03-10,"Washington, D.C.","DC",11,3.519,96
2020-03-10,"Delaware","DE",10,7.964,95
2020-03-10,"Florida","FL",12,8.086,99
2020-03-10,"Georgia","GA",13,9.895,101
2020-03-10,"Hawaii","HI",15,7.166,105
2020-03-10,"Iowa","IA",19,6.906,99
2020-03-10,"Idaho","ID",16,5.588,102
2020-03-10,"Illinois","IL",17,7.067,97
2020-03-10,"Indiana","IN",18,7.817,93
2020-03-10,"Kansas","KS",20,7.429,101
2020-03-10,"Kentucky","KY",21,8.323,96
2020-03-10,"Louisiana","LA",22,9.374,99
2020-03-10,"Massachusetts","MA",25,5.948,98
2020-03-10,"Maryland","MD",24,7.66,96
2020-03-10,"Maine","ME",23,6.72,94
2020-03-10,"Michigan","MI",26,7.677,96
2020-03-10,"Minnesota","MN",27,7.217,97
2020-03-10,"Missouri","MO",29,9.149,97
2020-03-10,"Mississippi","MS",28,11.489,102
2020-03-10,"Montana","MT",30,4.272,102
2020-03-10,"North Carolina","NC",37,9.732,99
2020-03-10,"North Dakota","ND",38,4.268,99
2020-03-10,"Nebraska","NE",31,6.368,95
2020-03-10,"New Hampshire","NH",33,8.554,96
2020-03-10,"New Jersey","NJ",34,6.659,93
2020-03-10,"New Mexico","NM",35,6.203,104
2020-03-10,"Nevada","NV",32,6.876,97
2020-03-10,"New York","NY",36,4.849,93
2020-03-10,"Ohio","OH",39,7.731,97
2020-03-10,"Oklahoma","OK",40,9.516,99
2020-03-10,"Oregon","OR",41,5.27,102
2020-03-10,"Pennsylvania","PA",42,6.245,98
2020-03-10,"Rhode Island","RI",44,5.912,96
2020-03-10,"South Carolina","SC",45,9.974,104
2020-03-10,"South Dakota","SD",46,5.236,102
2020-03-10,"Tennessee","TN",47,9.923,96
2020-03-10,"Texas","TX",48,9.338,102
2020-03-10,"Utah","UT",49,6.89,97
2020-03-10,"Virginia","VA",51,8.042,100
2020-03-10,"Vermont","VT",50,6.143,104
2020-03-10,"Washington","WA",53,5.502,89
2020-03-10,"Wisconsin","WI",55,6.568,98
2020-03-10,"West Virginia","WV",54,7.374,95
2020-03-10,"Wyoming","WY",56,4.169,103
2020-03-11,"Alaska","AK",2,3.678,91
2020-03-11,"Alabama","AL",1,10.954,103
2020-03-11,"Arkansas","AR",5,9.225,96
2020-03-11,"Arizona","AZ",4,7.156,91
2020-03-11,"California","CA",6,6.591,96
2020-03-11,"Colorado","CO",8,7.156,101
2020-03-11,"Connecticut","CT",9,6.51,96
2020-03-11,"Washington, D.C.","DC",11,3.623,99
2020-03-11,"Delaware","DE",10,7.986,95
2020-03-11,"Florida","FL",12,8.236,101
2020-03-11,"Georgia","GA",13,10.235,104
2020-03-11,"Hawaii","HI",15,6.95,102
2020-03-11,"Iowa","IA",19,7.106,102
2020-03-11,"Idaho","ID",16,5.738,105
2020-03-11,"Illinois","IL",17,7.182,98
2020-03-11,"Indiana","IN",18,8.002,96
2020-03-11,"Kansas","KS",20,7.834,106
2020-03-11,"Kentucky","KY",21,8.586,99
2020-03-11,"Louisiana","LA",22,9.504,100
2020-03-11,"Massachusetts","MA",25,5.938,98
2020-03-11,"Maryland","MD",24,7.901,99
2020-03-11,"Maine","ME",23,7.217,101
2020-03-11,"Michigan","MI",26,7.891,98
2020-03-11,"Minnesota","MN",27,7.476,101
2020-03-11,"Missouri","MO",29,9.435,100
2020-03-11,"Mississippi","MS",28,11.721,104
2020-03-11,"Montana","MT",30,4.37,105
2020-03-11,"North Carolina","NC",37,9.934,101
2020-03-11,"North Dakota","ND",38,4.429,103
2020-03-11,"Nebraska","NE",31,6.708,100
2020-03-11,"New Hampshire","NH",33,8.837,100
2020-03-11,"New Jersey","NJ",34,6.788,94
2020-03-11,"New Mexico","NM",35,6.352,106
2020-03-11,"Nevada","NV",32,6.827,96
2020-03-11,"New York","NY",36,4.918,95
2020-03-11,"Ohio","OH",39,7.818,98
2020-03-11,"Oklahoma","OK",40,9.535,99
2020-03-11,"Oregon","OR",41,5.224,101
2020-03-11,"Pennsylvania","PA",42,6.462,102
2020-03-11,"Rhode Island","RI",44,5.915,96
2020-03-11,"South Carolina","SC",45,10.117,105
2020-03-11,"South Dakota","SD",46,5.342,104
2020-03-11,"Tennessee","TN",47,10.231,99
2020-03-11,"Texas","TX",48,9.484,104
2020-03-11,"Utah","UT",49,7.132,100
2020-03-11,"Virginia","VA",51,8.249,102
2020-03-11,"Vermont","VT",50,6.572,111
2020-03-11,"Washington","WA",53,5.488,89
2020-03-11,"Wisconsin","WI",55,6.601,99
2020-03-11,"West Virginia","WV",54,7.764,100
2020-03-11,"Wyoming","WY",56,4.3,106
2020-03-12,"Alaska","AK",2,3.605,90
2020-03-12,"Alabama","AL",1,11.755,111
2020-03-12,"Arkansas","AR",5,9.633,100
2020-03-12,"Arizona","AZ",4,6.969,89
2020-03-12,"California","CA",6,6.159,90
2020-03-12,"Colorado","CO",8,7.126,101
